Year,Date,JulianDate,GaugeHt,Temp,Treatment,Fish,FishID,Plugged,Cage,Upstream,Downstream,Nest,Mating,tkPZS_ng_L,PZS_ng_L,DKPES_ng_L
2020,6/25/2020,20177,1.49,20,Control,1/R/R,34,n,0,1,0,1,1,6.65,2.7,0.4
2020,6/25/2020,20177,1.49,20,Control,2/G/W,35,n,0,1,0,1,1,6.65,2.7,0.4
2020,6/25/2020,20177,1.49,20,Control,3/R/Y,36,n,0,1,0,1,0,6.65,2.7,0.4
2020,6/25/2020,20177,1.49,20,Control,4/R/G,37,n,1,0,1,0,0,6.65,2.7,0.4
2020,6/25/2020,20177,1.49,20,Control,5/G/R,38,n,1,0,1,0,0,6.65,2.7,0.4
2020,6/28/2020,20180,1.44,23,Control,1/B/R,39,n,0,1,0,1,1,9.6,3.9,0.2
2020,6/28/2020,20180,1.44,23,Control,2/B/Y,40,n,0,0,1,0,0,9.6,3.9,0.2
2020,6/28/2020,20180,1.44,23,Control,3/Y/W,41,n,0,1,0,1,1,9.6,3.9,0.2
2020,6/28/2020,20180,1.44,23,Control,4/R/G,42,n,1,0,0,0,0,9.6,3.9,0.2
2020,6/28/2020,20180,1.44,23,Control,5/Y/Y,43,n,0,0,1,0,0,9.6,3.9,0.2
2020,6/28/2020,20180,1.44,23,Control,6/R/R,44,n,0,1,0,1,1,9.6,3.9,0.2
2020,6/28/2020,20180,1.44,23,Control,7/G/R,45,n,0,1,0,0,0,9.6,3.9,0.2
2020,7/3/2020,20185,1.41,27,Control,1/B/B,46,n,0,0,1,0,0,10.25,3.35,0
2020,7/3/2020,20185,1.41,27,Control,2/RB/P,47,n,0,1,0,0,0,10.25,3.35,0
2020,7/3/2020,20185,1.41,27,Control,3/R/B,48,n,1,0,0,0,0,10.25,3.35,0
2020,7/3/2020,20185,1.41,27,Control,5/G/R,49,n,0,1,0,0,0,10.25,3.35,0
2020,7/3/2020,20185,1.41,27,Control,6/R/R,50,n,0,1,0,0,0,10.25,3.35,0
2020,7/3/2020,20185,1.41,27,Control,7/Y/Y,51,n,0,1,0,1,1,10.25,3.35,0
2020,7/3/2020,20185,1.41,27,Control,8/RB/W,52,n,0,1,0,1,1,10.25,3.35,0
2020,6/26/2020,20178,1.469136,22,Ant_6.21E-11M,1/RB/Y,1,n,1,0,0,0,0,6.1,3.6,0.25
2020,6/26/2020,20178,1.469136,22,Ant_6.21E-11M,2/RB/P,2,n,1,0,0,0,0,6.1,3.6,0.25
2020,6/26/2020,20178,1.469136,22,Ant_6.21E-11M,3/RB/R,3,n,0,1,0,0,0,6.1,3.6,0.25
2020,6/26/2020,20178,1.469136,22,Ant_6.21E-11M,4/RB/B,4,n,0,1,0,1,0,6.1,3.6,0.25
2020,6/26/2020,20178,1.469136,22,Ant_6.21E-11M,5/RB/G,5,n,0,0,1,0,0,6.1,3.6,0.25
2020,6/27/2020,20179,1.438656,23,Ant_6.21E-11M,1/R/R,6,n,0,1,0,1,0,9.25,5.95,0.3
2020,6/27/2020,20179,1.438656,23,Ant_6.21E-11M,2/Y/Y,7,n,0,0,1,0,0,9.25,5.95,0.3
2020,6/27/2020,20179,1.438656,23,Ant_6.21E-11M,3/B/B,8,n,0,1,0,1,0,9.25,5.95,0.3
2020,6/27/2020,20179,1.438656,23,Ant_6.21E-11M,4/G/G,9,n,1,0,0,0,0,9.25,5.95,0.3
2020,6/27/2020,20179,1.438656,23,Ant_6.21E-11M,5/R/W,10,n,1,0,0,0,0,9.25,5.95,0.3
2020,6/27/2020,20179,1.438656,23,Ant_6.21E-11M,6/Y/P,11,n,0,1,0,1,0,9.25,5.95,0.3
2020,6/27/2020,20179,1.438656,23,Ant_6.21E-11M,7/G/R,12,n,0,1,0,0,0,9.25,5.95,0.3
2020,6/29/2020,20181,1.420368,25,Ant_6.21E-11M,1/G/B,13,n,0,0,2,0,0,13.95,20.1,0.2
2020,6/29/2020,20181,1.420368,25,Ant_6.21E-11M,2/R/P,14,n,0,1,0,1,0,13.95,20.1,0.2
2020,6/29/2020,20181,1.420368,25,Ant_6.21E-11M,3/Y/P,15,n,0,0,1,0,0,13.95,20.1,0.2
2020,6/29/2020,20181,1.420368,25,Ant_6.21E-11M,4/B/W,16,n,1,0,0,0,0,13.95,20.1,0.2
2020,6/29/2020,20181,1.420368,25,Ant_6.21E-11M,5/G/G,17,n,0,1,0,1,1,13.95,20.1,0.2
2020,6/29/2020,20181,1.420368,25,Ant_6.21E-11M,6/R/R,18,n,0,1,0,1,0,13.95,20.1,0.2
2020,6/29/2020,20181,1.420368,25,Ant_6.21E-11M,7/B/B,19,n,0,1,0,1,1,13.95,20.1,0.2
2020,6/30/2020,20182,1.423416,25,Ant_6.21E-11M,1/RB/B,20,n,0,1,0,0,0,11.5,41.7,0.6
2020,6/30/2020,20182,1.423416,25,Ant_6.21E-11M,2/Y/Y,21,n,0,1,0,0,0,11.5,41.7,0.6
2020,6/30/2020,20182,1.423416,25,Ant_6.21E-11M,3/B/P,22,n,0,1,0,0,0,11.5,41.7,0.6
2020,6/30/2020,20182,1.423416,25,Ant_6.21E-11M,4/R/R,23,n,0,1,0,0,0,11.5,41.7,0.6
2020,6/30/2020,20182,1.423416,25,Ant_6.21E-11M,5/RB/G,24,n,0,1,0,0,0,11.5,41.7,0.6
2020,6/30/2020,20182,1.423416,25,Ant_6.21E-11M,6/RB/W,25,n,1,0,0,0,0,11.5,41.7,0.6
2020,6/30/2020,20182,1.423416,25,Ant_6.21E-11M,7/B/B,26,n,1,0,0,0,0,11.5,41.7,0.6
2020,7/2/2020,20184,1.420368,26,Ant_6.21E-11M,1/G/B,27,n,0,1,0,0,0,10.15,24.1,0.15
2020,7/2/2020,20184,1.420368,26,Ant_6.21E-11M,2/B/B,28,n,1,0,0,0,0,10.15,24.1,0.15
2020,7/2/2020,20184,1.420368,26,Ant_6.21E-11M,3/RB/P,29,n,1,0,0,0,0,10.15,24.1,0.15
2020,7/2/2020,20184,1.420368,26,Ant_6.21E-11M,4/R/R,30,n,0,1,0,1,0,10.15,24.1,0.15
2020,7/2/2020,20184,1.420368,26,Ant_6.21E-11M,5/Y/Y,31,n,1,0,0,0,0,10.15,24.1,0.15
2020,7/2/2020,20184,1.420368,26,Ant_6.21E-11M,6/RB/W,32,n,1,0,0,0,0,10.15,24.1,0.15
2020,7/2/2020,20184,1.420368,26,Ant_6.21E-11M,7/R/P,33,n,0,0,1,0,0,10.15,24.1,0.15
